trip_distance,trip_duration,hora_del_día,es_fin_de_semana,total_amount
0.9,3.0833333333333335,17,0,6.95
0.61,7.883333333333334,10,0,9.49
0.84,10.5,22,1,9.3
0.8,4.333333333333333,23,0,8.15
1.75,7.433333333333334,16,0,11.0
0.3,2.033333333333333,3,1,4.8
1.89,5.916666666666667,3,0,8.8
0.0,0.45,7,1,10.0
0.8,3.8666666666666667,7,0,7.54
1.1,6.3,1,0,7.8
1.14,9.25,13,0,8.3
2.19,17.85,9,0,17.29
2.2,28.55,16,0,24.4
4.7,17.95,20,0,20.75
3.63,11.816666666666666,21,0,17.16
1.0,5.516666666666667,22,0,9.3
1.48,10.033333333333333,20,0,10.3
0.5,2.6333333333333333,9,1,5.75
3.13,16.516666666666666,14,1,18.5
3.33,15.05,3,1,14.3
2.14,12.716666666666667,20,0,14.16
0.7,8.033333333333333,9,0,7.3
2.53,14.716666666666667,22,0,17.25
0.25,2.2333333333333334,23,1,5.76
1.41,12.633333333333333,16,1,11.3
2.5,21.65,8,0,19.55
3.15,20.483333333333334,16,1,19.56
1.4,7.433333333333334,0,0,8.8
3.4,18.6,0,1,18.95
1.82,8.7,22,0,11.3
0.8,6.4,6,0,8.16
1.93,17.433333333333334,20,0,15.96
0.8,6.233333333333333,19,0,7.8
0.98,11.4,18,0,11.0
4.34,21.7,20,0,18.3
5.2,19.25,21,0,21.3
0.9,5.3,17,0,7.3
0.69,3.216666666666667,13,0,6.36
1.9,5.583333333333333,7,1,8.3
1.4,7.8,1,1,10.56
1.76,15.466666666666667,8,0,14.76
0.98,7.916666666666667,8,0,7.8
2.0,11.533333333333333,20,0,13.55
3.5,18.733333333333334,19,0,17.8
1.6,8.8,20,0,9.3
0.4,6.766666666666667,10,0,7.8
2.03,12.316666666666666,20,0,13.56
0.0,0.0,18,0,11.3
0.83,9.383333333333333,18,0,11.16
0.7,6.883333333333334,10,0,7.8
1.67,7.2,0,0,8.8
1.2,6.983333333333333,3,1,9.3
3.8,13.95,23,0,17.8
2.0,10.933333333333334,1,1,12.3
0.73,5.416666666666667,19,1,6.3
0.56,8.4,19,1,7.3
1.0,11.783333333333333,10,0,9.3
4.49,16.766666666666666,3,0,17.8
1.14,17.316666666666666,17,0,17.25
0.86,5.083333333333333,19,0,7.3
3.01,9.35,2,1,13.3
2.34,9.766666666666667,13,1,12.96
2.25,18.95,23,1,14.8
0.5,4.016666666666667,15,0,5.3
